date;time;bid;ask;last;volume
20251107;170500.000;24838.00;24839.00;24838.00;81
20251107;170500.000;24830.00;24833.00;24833.00;258
20251107;170500.000;24830.00;24833.00;24832.00;263
20251107;170500.000;24830.00;24833.00;24832.00;264
20251107;170500.000;24830.00;24833.00;24832.00;265
20251107;170500.000;24830.00;24833.00;24832.00;266
20251107;170500.000;24830.00;24833.00;24832.00;267
20251107;170500.000;24830.00;24833.00;24831.00;279
20251107;170500.000;24830.00;24833.00;24831.00;280
20251107;170500.000;24830.00;24833.00;24831.00;281
20251107;170500.000;24830.00;24833.00;24831.00;282
20251107;170500.000;24830.00;24833.00;24831.00;283
20251107;170500.000;24830.00;24833.00;24831.00;284
20251107;170500.000;24830.00;24833.00;24830.00;298
20251107;170500.000;24830.00;24833.00;24830.00;299
20251107;170500.000;24830.00;24833.00;24830.00;300
20251107;170500.000;24830.00;24833.00;24830.00;301
20251107;170500.000;24830.00;24833.00;24830.00;307
20251107;170500.000;24830.00;24833.00;24830.00;308
20251107;170500.000;24830.00;24833.00;24830.00;309
20251107;170500.000;24830.00;24833.00;24830.00;310
