date;time;bid;ask;last;volume
20251107;022043.494;25280.00;25281.00;25281.00;1
20251107;022043.613;25280.00;25281.00;25281.00;1
20251107;022048.266;25278.00;25279.00;25279.00;1
20251107;022049.341;25277.00;25278.00;25277.00;1
20251107;022052.062;25277.00;25278.00;25277.00;1
20251107;022054.720;25273.00;25274.00;25273.00;1
20251107;022054.720;25273.00;25274.00;25273.00;1
20251107;022054.720;25273.00;25274.00;25273.00;1
20251107;022054.746;25273.00;25274.00;25274.00;1
20251107;022101.938;25268.00;25269.00;25268.00;1
20251107;022102.104;25268.00;25269.00;25269.00;1
20251107;022102.105;25268.00;25269.00;25269.00;1
20251107;022102.833;25268.00;25269.00;25269.00;1
20251107;022102.833;25268.00;25269.00;25269.00;1
20251107;022105.292;25267.00;25268.00;25268.00;1
20251107;022110.688;25265.00;25266.00;25266.00;1
20251107;022112.744;25265.00;25266.00;25265.00;1
20251107;022119.304;25266.00;25267.00;25266.00;1
20251107;022119.305;25266.00;25267.00;25266.00;1
20251107;022119.306;25266.00;25267.00;25266.00;1
